Date,Open,High,Low,Close,Adj Close,Volume,Common Shares Outstanding,Avg. Basic Shares Outstanding,Avg. Diluted Shares Outstanding,Share Price,Market Capitalisation,Revenues,COGS,SG&A,R&D,EBIT,EBITDA,"Interest expense, net",Abnormal Gains/Losses,Income Taxes,Net Income from Discontinued Op.,Net Profit,Dividends,"Cash, Cash Equivalents & Short Term Investments",Cash & Cash Equivalents,Short Term Investments,Receivables,Current Assets,Net PP&E,Intangible Assets,Goodwill,Total Noncurrent Assets,Total Assets,Short term debt,Accounts Payable,Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital,Treasury Stock,Retained Earnings,Equity Before Minorities,Minorities,Total Equity,Depreciation & Amortisation,Change in Working Capital,Cash From Operating Activities,Net Change in PP&E & Intangibles,Cash From Investing Activities,Cash From Financing Activities,Net Change in Cash,Free Cash Flow,Gross Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Current Ratio,Liabilities to Equity Ratio,Debt to Assets Ratio,EV / EBITDA,EV / Sales,Book to Market,Operating Income / EV,Enterprise Value,Returns
2009-10-26,28.129999,29.02,28.110001,28.68,22.551146,124149700,8900000,8914000,8983000,22.63,201407,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.02355460385439
2009-10-27,28.73,28.879999,28.440001,28.59,22.480375,69685800,8900000,8914000,8983000,22.56,200784,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.003138075313808
2009-10-28,28.24,28.77,27.950001,28.02,22.032181,73542400,8900000,8914000,8983000,22.11,196779,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.0199370409234
2009-10-29,28.07,28.41,27.85,28.219999,22.189445,65225500,8900000,8914000,8983000,22.27,198203,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.007137723054961
2009-10-30,28.030001,28.4,27.66,27.73,21.804152,73371800,8900000,8914000,8983000,21.88,194732,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.017363537114229
2009-11-02,27.700001,28.049999,27.41,27.879999,21.9221,62428900,8900000,8914000,8983000,22,195800,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.005409267940858
2009-11-03,27.639999,27.74,27.43,27.530001,21.646891,50294800,8900000,8914000,8983000,21.72,193308,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,-0.012553730722874
2009-11-04,27.690001,28.389999,27.620001,28.059999,22.063637,63898400,8900000,8914000,8983000,22.14,197046,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.019251652043166
2009-11-05,28.52,28.74,28.280001,28.469999,22.386015,52681700,8900000,8914000,8983000,22.47,199983,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.014611547206399
2009-11-06,28.379999,28.629999,28.200001,28.52,22.425335,38908500,8900000,8914000,8983000,22.51,200339,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.001756269819328
2009-11-09,28.620001,29,28.530001,28.99,22.794895,57518000,8900000,8914000,8983000,22.88,203632,12920,2842,3531,2065,4482,5128,0,0,1191,0,3574,-1157,36728,8823,27905,8587,52231,7512,1653,12582,29381,81612,2250,3287,28761,3746,11639,40400,0,62293,0,-21081,41212,0,41212,646,7802,6107,-435,-1199,-2190,2747,11304,0.78,0.3469,0.2766,0.0867,0.0438,1.816,0.9803,0.0735,32.3805,12.8519,0.2094,0.027,166047,0.016479663394109
